year,Fatalities
1908,1.0
1912,5.0
1913,45.0
1915,40.0
1916,108.0
1917,124.0
1918,65.0
1919,5.0
1920,24.0
1921,68.0
1922,80.0
1923,77.0
1924,18.0
1925,39.0
1926,30.0
1927,54.0
1928,124.0
1929,119.0
1930,138.0
1931,94.0
1932,75.0
1933,192.0
1934,126.0
1935,226.0
1936,227.0
1937,203.0
1938,414.0
1939,154.0
1940,169.0
1941,229.0
1942,363.0
1943,642.0
1944,601.0
1945,1314.0
1946,1306.0
1947,1233.0
1948,1069.0
1949,1085.0
1950,1382.0
1951,1166.0
1952,1200.0
1953,1188.0
1954,973.0
1955,864.0
1956,989.0
1957,1004.0
1958,1266.0
1959,1027.0
1960,1565.0
1961,1411.0
1962,2047.0
1963,1303.0
1964,1354.0
1965,1636.0
1966,1559.0
1967,1789.0
1968,2156.0
1969,1799.0
1970,2049.0
1971,1932.0
1972,2937.0
1973,2485.0
1974,2318.0
1975,1639.0
1976,2059.0
1977,2138.0
1978,1558.0
1979,2011.0
1980,1827.0
1981,1230.0
1982,1787.0
1983,1611.0
1984,1228.0
1985,2670.0
1986,1471.0
1987,1713.0
1988,2034.0
1989,2293.0
1990,1312.0
1991,1839.0
1992,2122.0
1993,1568.0
1994,1876.0
1995,1593.0
1996,2386.0
1997,1673.0
1998,1544.0
1999,970.0
2000,1429.0
2001,1398.0
2002,1437.0
2003,1276.0
2004,728.0
2005,1306.0
2006,1136.0
2007,931.0
2008,820.0
2009,581.0
